generation,rank,fitness,wins,draws,losses,twoOpenLinesScore,oneOpenLineWhiteTurnScore,oneOpenLineScore,escapeKingWeight,pressureWeight,distanceCornerWeight,cornerBlockadeWeight,materialWhiteWeight,materialBlackWeight,repetitionPenalty
1,0,23,6,5,3,6795,4404,926,18,-15,-20,-24,192,79,-174
1,1,23,7,2,5,7871,4370,688,4,-28,-26,-24,175,44,-41
1,2,21,6,3,5,8917,3581,998,8,-18,-10,-27,114,46,-87
1,3,19,4,7,3,7769,3837,592,8,-10,-18,-20,58,40,-57
1,4,17,5,2,7,8969,5065,761,1,-6,-10,-14,135,51,-150
1,5,17,4,5,5,8750,3461,430,5,-5,-24,-45,181,80,-52
1,6,16,3,7,4,9472,5396,214,8,-28,-22,-11,187,45,-35
1,7,14,3,5,6,9895,4161,829,11,-4,-21,-33,129,57,-121
2,0,27,8,3,3,7769,3837,926,18,-10,-18,-24,58,79,-57
2,1,25,7,4,3,7871,4370,688,8,-28,-10,-24,114,44,-87
2,2,21,6,3,5,7871,4404,685,18,-15,-20,-25,158,79,-174
2,3,21,6,3,5,6795,3581,998,8,-15,-20,-25,121,49,-174
2,4,17,4,5,5,8750,3461,414,4,-28,-24,-45,181,44,-41
2,5,16,4,4,6,6795,4404,926,18,-15,-20,-24,192,79,-174
2,6,13,3,4,7,6795,4404,688,4,-15,-22,-24,181,77,-160
2,7,13,3,4,7,8676,4404,816,18,-15,-10,-25,192,51,-151
3,0,30,9,3,2,7769,3837,904,18,-10,-18,-22,58,79,-62
3,1,26,8,2,4,7769,3837,926,18,-10,-18,-24,58,79,-57
3,2,23,7,2,5,7769,4686,688,19,-10,-10,-23,58,79,-57
3,3,21,6,3,5,7871,4404,998,18,-15,-20,-25,121,79,-168
3,4,18,4,6,4,7871,4418,685,4,-15,-24,-25,181,44,-41
3,5,14,3,5,6,6795,3932,998,7,-15,-20,-25,121,49,-174
3,6,11,2,5,7,7871,4404,414,18,-15,-24,-45,168,47,-41
3,7,11,3,2,9,7871,4404,685,17,-15,-20,-24,158,84,-174
4,0,25,7,4,3,7769,3643,926,18,-10,-18,-20,58,84,-57
4,1,24,8,0,6,7769,4686,688,18,-11,-10,-23,58,79,-57
4,2,21,5,6,3,7769,3837,926,18,-10,-18,-25,58,79,-57
4,3,20,5,5,4,7769,3837,998,18,-10,-18,-25,58,79,-56
4,4,19,4,7,3,7769,3837,993,4,-10,-24,-25,175,44,-41
4,5,18,5,3,6,7769,3837,904,18,-10,-18,-22,58,79,-62
4,6,14,3,5,6,7100,3837,926,18,-15,-24,-24,181,44,-41
4,7,11,3,2,9,7769,3668,926,18,-10,-18,-24,58,79,-57
5,0,32,10,2,2,7769,3643,926,18,-10,-18,-20,58,84,-57
5,1,25,8,1,5,7769,3643,926,17,-10,-18,-24,62,84,-61
5,2,24,8,0,6,8138,3643,926,18,-10,-18,-25,57,79,-57
5,3,21,7,0,7,7769,4686,926,18,-11,-18,-20,58,79,-57
5,4,20,6,2,6,7717,3837,998,18,-10,-19,-25,60,79,-56
5,5,18,6,0,8,8199,4510,926,18,-12,-10,-20,58,79,-57
5,6,16,5,1,8,7769,3643,926,4,-10,-18,-26,58,44,-41
5,7,7,1,4,9,7100,3643,1005,18,-11,-24,-20,181,84,-41
6,0,30,9,3,2,7769,3643,926,5,-10,-18,-26,58,84,-41
6,1,25,7,4,3,7769,3643,926,18,-9,-18,-25,62,84,-57
6,2,22,6,4,4,7769,3643,926,18,-10,-17,-24,58,84,-57
6,3,18,5,3,6,7769,3643,924,17,-10,-18,-20,62,84,-54
6,4,17,5,2,7,7769,4711,926,18,-10,-18,-20,58,84,-57
6,5,16,5,1,8,7769,3643,926,18,-10,-18,-20,58,84,-57
6,6,16,5,1,8,7769,4686,861,18,-11,-18,-20,58,85,-57
6,7,14,4,2,8,7769,3643,1013,17,-10,-18,-24,62,84,-53
7,0,30,9,3,2,7769,3643,857,5,-11,-18,-26,58,84,-41
7,1,23,7,2,5,8193,3643,926,17,-9,-17,-20,61,84,-57
7,2,22,6,4,4,7769,3643,926,5,-10,-18,-26,58,84,-41
7,3,20,5,5,4,7769,3883,926,18,-10,-18,-26,58,84,-41
7,4,19,6,1,7,8294,4686,926,18,-11,-18,-20,58,84,-57
7,5,16,4,4,6,7769,3643,924,17,-9,-18,-20,62,84,-54
7,6,15,4,3,7,7769,3643,924,17,-10,-17,-20,62,84,-54
7,7,11,3,2,9,7769,3643,926,5,-10,-17,-26,58,84,-41
8,0,29,8,5,1,7769,3643,857,5,-11,-18,-26,58,84,-41
8,1,23,6,5,3,7769,3643,857,5,-11,-18,-26,58,84,-41
8,2,21,6,3,5,8193,4686,926,18,-9,-17,-20,63,84,-54
8,3,19,5,4,5,7769,3822,926,18,-10,-18,-28,58,84,-40
